TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20210101210037,1,60,19,2,0,0,0
20210101210081,1,30,18,2,0,0,0
20210101210081,2,29,21,1,0,0,0
20210101210081,3,10,22,1,0,0,0
20210101210099,1,43,18,1,0,0,0
20210101210099,2,39,20,2,0,0,0
20210101210101,1,23,19,1,0,0,0
20210101210109,1,20,19,1,0,0,0
20210101210109,2,40,24,2,0,0,0
20210101210115,1,15,18,2,0,0,0
20210101210115,2,42,24,2,0,0,0
20210101210115,3,17,25,2,0,0,0
20210101210115,4,0,25,2,0,0,0
20210101210115,5,13,25,2,0,0,0
20210101210131,1,24,19,1,0,0,0
20210101210139,1,16,18,2,0,0,0
20210101210139,2,25,26,1,0,0,0
20210101210139,3,57,26,2,0,0,0
20210101210139,4,59,26,1,0,0,0
20210101210139,5,36,24,2,0,0,0
20210101210139,6,14,25,2,0,0,0
20210101210139,7,12,25,1,0,0,0
20210101210155,1,15,18,2,0,0,0
20210101210155,2,40,24,2,0,0,0
20210101210155,3,41,24,1,0,0,0
20210101210155,4,17,25,2,0,0,0
20210101210155,5,12,25,1,0,0,0
20210101210175,1,17,18,2,0,0,0
20210101210175,2,50,24,2,0,0,0
20210101210175,3,50,24,1,0,0,0
20210101210175,4,19,25,1,0,0,0
20210101210175,5,68,26,2,0,0,0
20210101210175,6,79,26,1,0,0,0
20210101210180,1,23,19,1,0,0,0
20210101210201,1,23,18,2,0,0,0
20210101210201,2,58,24,1,0,0,0
20210101210201,3,60,24,2,0,0,0
20210101210201,4,22,25,1,0,0,0
20210101210201,5,24,25,1,0,0,0
20210101210223,1,15,18,2,0,0,0
20210101210223,2,45,24,1,0,0,0
20210101210223,3,41,24,2,0,0,0
20210101210223,4,14,25,1,0,0,0
20210101210240,1,17,18,1,0,0,0
20210101210240,2,53,24,2,0,0,0
20210101210240,3,52,24,1,0,0,0
20210101210240,4,20,25,2,0,0,0
20210101210247,1,20,18,1,0,0,0
20210101210247,2,23,28,1,0,0,0
20210101210247,3,20,25,1,0,0,0
20210101210269,1,24,18,2,0,0,0
20210101210269,2,22,21,1,0,0,0
20210101210275,1,24,18,1,0,0,0
20210101210275,2,52,24,1,0,0,0
20210101210275,3,46,24,2,0,0,0
20210101210276,1,23,19,1,0,0,0
20210101210285,1,15,18,1,0,0,0
20210101210285,2,57,24,2,0,0,0
20210101210285,3,56,24,1,0,0,0
20210101210292,1,17,18,1,0,0,0
20210101210292,2,46,24,2,0,0,0
20210101210292,3,49,24,1,0,0,0
20210101210292,4,14,25,1,0,0,0
20210101210295,1,23,18,1,0,0,0
20210101210295,2,25,20,2,0,0,0
20210101210295,3,5,22,1,0,0,0
20210101210322,1,17,18,1,0,0,0
20210101210322,2,52,24,1,0,0,0
20210101210322,3,56,24,2,0,0,0
20210101210322,4,20,25,1,0,0,0
20210101210339,1,20,18,2,0,0,0
20210101210339,2,56,24,2,0,0,0
20210101210339,3,57,24,1,0,0,0
20210101210339,4,23,25,2,0,0,0
20210101210339,5,17,25,2,0,0,0
20210101210340,1,18,18,2,0,0,0
20210101210340,2,40,24,2,0,0,0
20210101210340,3,22,25,2,0,0,0
20210101210340,4,11,25,1,0,0,0
20210101210340,5,45,24,1,0,0,0
20210101210536,1,30,18,1,0,0,0
20210101210536,3,4,22,2,0,0,0
20210101210536,4,1,22,2,0,0,0
20210101210537,1,66,18,1,0,0,0
20210101210537,2,66,20,2,0,0,0
20210101210549,1,25,18,2,0,0,0
20210101210549,2,22,20,1,0,0,0
20210101210549,3,3,22,2,0,0,0
20210101210572,1,61,18,1,0,0,0
20210101210572,2,55,20,2,0,0,0
20210101210572,3,27,22,2,0,0,0
20210101210576,1,49,19,1,0,0,0
20210101210580,1,64,18,1,0,0,0
20210101210580,2,50,20,2,0,0,0
20210101210580,3,18,22,1,0,0,0
20210101210580,4,16,22,2,0,0,0
20210101210600,1,65,18,2,0,0,0
20210101210600,2,64,20,1,0,0,0
20210101210610,1,67,19,2,0,0,0
20210101210612,1,53,18,2,0,0,0
20210101210612,2,54,20,1,0,0,0
20210101210618,1,85,19,2,60,0,0
20210101210633,1,80,19,2,0,0,0
20210101210641,1,41,18,2,0,0,0
20210101210641,2,36,20,1,0,0,0
20210101210641,3,12,22,1,0,0,0
20210101210641,4,7,22,1,0,0,0
20210101210641,5,0,22,1,0,0,0
20210101210660,1,54,18,1,0,0,0
20210101210660,2,39,20,2,0,0,0
20210101210660,3,3,22,1,0,0,0
20210101210672,1,80,18,1,60,0,0
20210101210672,2,80,20,2,0,0,0
20210101210677,1,52,19,1,0,0,0
20210101210693,1,59,19,1,0,0,0
20210101210700,1,52,18,2,0,0,0
20210101210700,2,52,20,1,0,0,0
20210101210716,1,65,19,2,0,0,0
20210101210721,1,41,18,2,0,0,0
20210101210721,2,13,22,2,0,0,0
20210101210735,1,36,18,2,0,0,0
20210101210735,2,36,20,1,0,0,0
20210101210735,3,6,22,1,0,0,0
20210101210735,4,4,22,2,0,0,0
20210101210735,5,4,22,2,0,0,0
20210101210741,1,44,18,1,0,0,0
20210101210741,2,38,20,2,0,0,0
20210101210741,3,4,22,1,0,0,0
20210101210748,1,85,19,2,60,0,0
20210101210773,1,74,19,2,0,0,0
20210101210779,1,68,18,2,0,0,0
20210101210779,2,69,20,1,0,0,0
20210101210811,1,40,18,2,0,0,0
20210101210811,2,36,20,1,0,0,0
20210101210811,3,11,22,1,0,0,0
20210101210811,4,14,22,2,0,0,0
20210101210811,5,9,22,2,0,0,0
20210101210811,6,13,22,1,0,0,0
20210101210815,1,68,18,2,0,0,0
20210101210815,2,64,20,1,0,0,0
20210101210827,1,75,19,2,0,0,0
20210101210830,1,54,18,2,0,0,0
20210101210830,2,56,20,1,0,0,0
20210101210833,1,52,18,2,0,0,0
20210101210833,2,4,22,2,23,0,0
20210101210833,3,5,22,2,23,0,0
20210101210841,1,64,18,1,0,0,0
20210101210841,2,60,20,2,0,0,0
20210101210859,1,55,18,1,0,0,0
20210101210859,2,53,20,2,0,0,0
20210101210860,1,72,18,2,0,0,0
20210101210860,2,30,22,1,0,0,0
20210101210863,1,26,19,1,0,0,0
20210101210867,1,85,19,2,60,0,0
20210101210869,1,45,18,1,0,0,0
20210101210869,2,44,20,2,0,0,0
20210101210869,3,11,22,1,0,0,0
20210101210869,4,5,22,2,0,0,0
20210101210870,1,69,18,1,0,0,0
20210101210870,2,57,20,2,0,0,0
20210101210886,1,28,19,1,0,0,0
20210101210886,2,29,21,2,0,0,0
20210101210889,1,59,19,1,0,0,0
20210101210890,1,31,18,2,0,0,0
20210101210890,2,40,20,1,0,0,0
20210101210892,1,69,19,2,0,0,0
20210101210898,1,48,18,2,0,0,0
20210101210898,2,48,20,1,0,0,0
20210101210898,3,20,22,2,0,0,0
20210101210898,4,13,22,2,0,0,0
20210101210913,1,74,19,2,0,0,0
20210101210919,1,80,18,2,0,0,0
20210101210919,2,29,23,1,0,0,0
20210101210923,1,43,18,2,0,0,0
20210101210923,2,49,20,1,0,0,0
20210101210923,3,13,22,2,0,0,0
20210101210925,1,78,18,2,0,0,0
20210101210925,2,78,20,1,0,0,0
20210101210954,1,50,18,1,0,0,0
20210101210954,2,36,20,2,0,0,0
20210101210954,3,12,22,2,0,0,0
20210101210954,4,10,22,2,0,0,0
20210101210965,1,59,18,1,0,0,0
20210101210965,2,35,22,2,0,0,0
20210101210965,3,32,26,1,0,0,0
20210101210965,4,11,23,1,0,0,0
20210101210965,5,9,23,1,0,0,0
20210101210967,1,69,18,2,0,0,0
20210101210967,2,70,20,1,0,0,0
20210101210976,1,35,18,2,0,0,0
20210101210976,2,34,20,1,0,0,0
20210101210976,3,1,22,1,0,0,0
20210101210995,1,85,19,2,60,0,0
20210101211001,1,67,19,2,0,0,0
20210101211009,1,47,18,1,0,0,0
20210101211009,2,39,20,2,0,0,0
20210101211009,3,8,22,2,0,0,0
20210101211009,4,7,22,1,0,0,0
20210101211009,5,3,22,2,0,0,0
20210101211021,1,62,19,2,0,0,0
20210101211044,1,54,18,2,0,0,0
20210101211044,2,54,20,1,0,0,0
20210101211044,3,17,22,2,0,0,0
20210101211044,6,14,22,2,0,0,0
20210101211044,8,29,22,2,0,0,0
20210101211051,1,72,18,1,0,0,0
20210101211051,2,69,20,2,0,0,0
20210101211064,1,80,19,1,0,0,0
20210101211070,1,55,18,2,0,0,0
20210101211070,2,35,22,2,0,0,0
20210101211070,3,10,23,1,0,0,0
20210101211070,4,17,40,1,0,0,0
20210101211073,1,35,18,1,0,0,0
20210101211073,2,38,20,2,0,0,0
20210101211073,3,1,22,2,0,0,0
20210101211080,1,40,18,2,0,0,0
20210101211080,2,6,22,1,0,0,0
20210101211081,1,60,18,2,0,0,0
20210101211081,2,31,22,2,0,0,0
20210101211081,3,37,22,1,0,0,0
20210101211081,4,16,23,1,0,0,0
20210101211081,5,17,23,1,0,0,0
20210101211081,6,17,23,2,0,0,0
20210101211081,7,17,23,1,0,0,0
20210101211081,8,14,23,2,0,0,0
20210101211081,9,14,23,1,0,0,0
20210101211081,10,13,23,2,0,0,0
20210101211081,11,11,23,2,0,0,0
20210101211081,12,9,23,2,0,0,0
20210101211093,1,69,18,1,0,0,0
20210101211093,2,61,20,2,0,0,0
20210101211109,1,78,19,2,0,0,0
20210101211113,1,29,19,2,0,0,0
20210101211123,1,29,19,2,0,0,0
20210101211123,2,31,20,1,0,0,0
20210101211145,1,26,18,2,0,0,0
20210101211145,2,30,20,1,0,0,0
20210101211145,3,0,22,2,0,0,0
20210101211155,1,34,18,1,0,0,0
20210101211155,2,3,22,2,0,0,0
20210101211156,1,77,18,2,0,0,0
20210101211156,2,79,20,1,0,0,0
20210101211166,1,68,19,2,0,0,0
20210101211186,1,52,18,2,0,0,0
20210101211186,2,53,20,1,0,0,0
20210101211193,1,34,19,1,0,0,0
20210101211224,1,71,19,2,0,0,0
20210101211226,1,74,19,2,0,0,0
20210101211234,1,31,18,1,0,0,0
20210101211234,2,29,20,2,0,0,0
20210101211234,3,2,22,2,0,0,0
20210101211240,1,27,18,1,0,0,0
20210101211240,2,60,24,2,0,0,0
20210101211240,3,65,24,1,0,0,0
20210101211255,1,60,18,2,0,0,0
20210101211255,2,61,20,1,0,0,0
20210101211271,1,42,18,2,0,0,0
20210101211271,2,44,20,1,0,0,0
20210101211271,3,12,22,1,0,0,0
20210101211271,4,9,22,1,0,0,0
20210101211271,5,6,22,1,0,0,0
20210101211278,1,35,18,2,0,0,0
20210101211278,2,33,20,1,0,0,0
20210101211278,3,4,22,2,0,0,0
20210101211288,1,60,18,2,0,0,0
20210101211288,2,49,20,1,0,0,0
20210101211317,1,54,18,1,0,0,0
20210101211317,2,48,20,1,0,0,0
20210101211326,1,43,18,2,0,0,0
20210101211326,2,46,20,1,0,0,0
20210101211326,3,4,22,2,0,0,0
20210101211326,4,1,22,2,0,0,0
20210101211363,1,85,18,2,60,0,0
20210101211363,2,59,22,2,0,0,0
20210101211386,1,54,18,1,0,0,0
20210101211386,2,54,20,2,0,0,0
20210101211391,1,78,18,2,0,0,0
20210101211391,2,78,20,1,0,0,0
20210101211401,1,54,19,2,0,0,0
20210101211403,1,29,18,2,0,0,0
20210101211403,2,29,20,1,0,0,0
20210101211412,1,28,19,1,0,0,0
20210101211426,1,85,19,2,60,0,0
20210101211458,1,41,19,2,0,0,0
20210101211488,1,52,18,1,0,0,0
20210101211488,2,43,20,2,0,0,0
20210101211488,3,11,22,1,0,0,0
20210101211488,4,7,22,1,0,0,0
20210101211494,1,38,19,2,0,0,0
20210101211498,1,65,19,2,0,0,0
20210101211499,1,34,18,2,0,0,0
20210101211499,2,75,24,1,0,0,0
20210101211503,1,60,19,2,0,0,0
20210101211503,2,58,20,2,0,0,0
20210101211524,1,53,19,1,0,0,0
20210101211568,1,51,19,2,0,0,0
20210101211570,1,44,18,2,0,0,0
20210101211570,2,41,20,1,0,0,0
20210101211570,3,4,22,2,0,0,0
20210101211575,1,28,18,2,0,0,0
20210101211575,2,35,20,1,0,0,0
20210101211597,1,49,18,2,0,0,0
20210101211597,2,50,20,1,0,0,0
20210101211597,3,4,23,1,0,0,0
20210101211600,1,38,18,2,0,0,0
20210101211600,2,43,20,1,0,0,0
20210101211600,3,10,22,2,0,0,0
20210101211600,4,8,22,1,0,0,0
20210101211608,1,59,18,1,0,0,0
20210101211608,2,53,20,2,0,0,0
20210101211608,3,19,22,1,0,0,0
20210101211614,1,56,18,2,0,0,0
20210101211614,2,58,20,1,0,0,0
20210101211614,3,16,22,1,0,0,0
20210101211614,4,80,24,2,0,0,0
20210101211618,1,37,18,1,0,0,0
20210101211618,2,37,20,2,0,0,0
20210101211618,3,9,22,2,0,0,0
20210101211618,4,6,22,2,0,0,0
20210101211633,1,53,18,1,0,0,0
20210101211633,2,10,22,1,0,0,0
20210101211657,1,29,18,1,0,0,0
20210101211657,2,54,24,2,0,0,0
20210101211701,1,79,19,2,0,0,0
20210101211722,1,28,18,2,0,0,0
20210101211722,2,27,20,1,0,0,0
20210101211722,3,0,22,1,0,0,0
20210101211739,1,71,18,2,0,0,0
20210101211739,2,73,20,1,0,0,0
20210101211769,1,59,18,2,0,0,0
20210101211769,2,60,20,1,0,0,0
20210101211776,1,69,19,2,0,0,0
20210101211784,1,73,18,2,0,0,0
20210101211784,2,50,22,2,0,0,0
20210101211784,3,25,23,2,0,0,0
20210101211808,1,55,18,2,0,0,0
20210101211828,1,59,18,1,0,0,0
20210101211828,2,47,20,2,0,0,0
20210101211828,3,12,22,2,0,0,0
20210101211828,4,17,40,2,0,0,0
20210101211831,1,27,18,1,0,0,0
20210101211831,2,31,21,2,0,0,0
20210101211831,3,8,22,1,0,0,0
20210101211831,4,6,22,1,0,0,0
20210101211850,1,64,18,1,0,0,0
20210101211850,2,65,20,2,0,0,0
20210101211889,1,34,18,2,0,0,0
20210101211889,2,52,24,2,0,0,0
20210101211889,3,29,25,2,0,0,0
20210101211903,1,70,18,1,0,0,0
20210101211903,2,68,20,2,0,0,0
20210101211912,1,50,18,1,0,0,0
20210101211912,2,70,24,2,0,0,0
20210101211912,4,16,26,2,0,0,0
20210101211914,1,32,19,1,0,0,0
20210101211930,1,48,18,2,0,0,0
20210101211930,2,49,20,1,0,0,0
20210101211930,3,22,22,2,0,0,0
20210101211930,4,18,22,1,0,0,0
20210101211930,5,17,22,1,0,0,0
20210101211930,6,15,22,2,0,0,0
20210101211934,1,77,18,2,0,0,0
20210101211934,2,77,20,1,0,0,0
20210101211970,1,74,19,2,0,0,0
20210101211994,1,33,18,2,0,0,0
20210101211994,2,34,20,1,0,0,0
20210101211994,3,8,22,1,0,0,0
20210101211994,4,4,22,1,0,0,0
20210101211996,1,52,19,1,0,0,0
20210101212002,1,31,18,2,0,0,0
20210101212002,2,29,20,1,0,0,0
20210101212002,3,6,22,2,0,0,0
20210101212002,4,2,22,1,0,0,0
20210101212035,1,50,19,1,0,0,0
20210101212046,1,41,18,2,0,0,0
20210101212046,2,46,20,1,0,0,0
20210101212046,3,5,22,2,0,0,0
20210101212051,1,80,19,2,0,0,0
20210101212057,1,57,18,1,0,0,0
20210101212057,2,52,20,2,0,0,0
20210101212066,1,51,19,2,0,0,0
20210101212075,1,57,18,2,0,0,0
20210101212075,2,58,20,1,0,0,0
20210101212088,1,80,18,2,0,0,0
20210101212088,2,80,20,1,0,0,0
20210101212124,1,80,18,1,0,0,0
20210101212124,2,74,20,2,0,0,0
20210101212143,1,54,18,1,0,0,0
20210101212143,2,55,20,2,0,0,0
20210101212143,3,18,22,2,0,0,0
20210101212144,1,67,18,2,0,0,0
20210101212144,2,70,20,1,0,0,0
20210101212145,1,30,18,2,0,0,0
20210101212145,2,37,20,1,0,0,0
20210101212145,3,3,22,1,0,0,0
20210101212145,4,1,22,1,0,0,0
20210101212145,5,0,22,2,0,0,0
20210101212146,1,60,19,2,0,0,0
20210101212146,2,61,21,1,0,0,0
20210101212173,1,75,19,2,0,0,0
20210101212189,1,66,19,2,0,0,0
20210101212190,1,70,18,2,0,0,0
20210101212190,2,66,20,1,0,0,0
20210101212211,1,29,18,1,0,0,0
20210101212211,2,34,20,2,0,0,0
20210101212211,3,13,22,1,0,0,0
20210101212211,4,5,22,2,0,0,0
20210101212211,5,3,22,1,0,0,0
20210101212226,1,56,18,2,0,0,0
20210101212226,2,27,22,1,0,0,0
20210101212226,3,85,24,2,60,0,0
20210101212226,4,29,26,2,0,0,0
20210101212226,5,0,23,2,0,0,0
20210101212246,1,72,18,1,0,0,0
20210101212246,2,62,20,2,0,0,0
20210101212256,1,34,18,2,0,0,0
20210101212256,2,39,20,1,0,0,0
20210101212256,3,2,22,2,0,0,0
20210101212282,1,52,18,2,0,0,0
20210101212282,2,53,20,1,0,0,0
20210101212301,1,33,18,2,0,0,0
20210101212301,2,40,20,1,0,0,0
20210101212301,3,12,22,2,0,0,0
20210101212308,1,50,18,2,0,0,0
20210101212308,2,51,20,1,0,0,0
20210101212308,3,18,22,1,0,0,0
20210101212308,4,14,22,1,0,0,0
20210101212308,5,14,22,2,0,0,0
20210101212321,1,77,19,2,0,0,0
20210101212335,1,30,18,1,0,0,0
20210101212335,2,30,20,2,0,0,0
20210101212335,3,4,22,2,0,0,0
20210101212335,4,2,22,1,0,0,0
20210101212335,5,0,22,1,0,0,0
20210110200250,1,23,18,1,0,0,0
20210110200250,2,46,24,2,0,0,0
20210110200265,1,21,18,1,0,0,0
20210110200265,2,43,24,1,0,0,0
20210110200265,3,42,24,2,0,0,0
20210110200265,4,23,25,1,0,0,0
20210110200265,5,9,25,1,0,0,0
20210110200284,1,21,18,1,0,0,0
20210110200284,2,62,24,2,0,0,0
20210110200680,1,28,18,1,0,0,0
20210110200680,2,53,24,1,0,0,0
20210110200680,3,60,24,2,22,0,0
20210110200680,4,9,26,2,22,0,0
20210110200728,1,79,18,1,0,0,0
20210110200728,2,69,20,2,0,0,0
20210110200728,3,38,22,2,0,0,0
20210110200728,4,14,23,1,0,0,0
20210110200728,5,6,23,2,0,0,0
20210110201596,1,30,18,1,0,0,0
20210110201596,2,29,20,2,0,0,0
20210110201596,3,4,22,1,0,0,0
20210110201596,4,2,22,1,0,0,0
20210110202105,1,46,18,2,0,0,0
20210110202105,2,21,22,2,0,0,0
20210110202257,1,34,18,2,0,0,0
20210110202257,2,36,20,1,0,0,0
20210110202257,3,8,22,1,0,0,0
20210110202257,4,5,22,1,0,0,0
20210111200012,1,37,19,2,0,0,0
20210111200012,2,59,24,2,0,0,0
20210111200012,3,62,24,1,0,0,0
20210111200012,4,34,25,2,0,0,0
20210111200028,1,36,19,1,0,0,0
20210111200072,1,61,19,2,0,0,0
20210111200147,1,24,18,1,0,0,0
20210111200147,2,14,25,1,0,0,0
20210111200165,1,17,18,1,0,0,0
20210111200165,2,39,24,2,0,0,0
20210111200165,3,5,25,2,0,0,0
20210111200202,1,16,18,1,0,0,0
20210111200202,2,46,24,1,0,0,0
20210111200202,3,41,24,2,0,0,0
20210111200202,4,18,25,2,0,0,0
20210111200202,5,14,25,2,0,0,0
20210111200202,6,10,25,1,0,0,0
20210111200213,1,17,18,2,0,0,0
20210111200213,2,56,24,1,0,0,0
20210111200213,3,55,24,2,0,0,0
20210111200213,4,22,25,2,0,0,0
20210111200229,1,15,18,2,0,0,0
20210111200229,2,29,24,1,0,0,0
20210111200229,3,36,24,2,0,0,0
20210111200229,4,10,25,2,0,0,0
20210111200229,5,0,25,2,0,0,0
20210111200244,1,23,18,2,0,0,0
20210111200244,2,24,20,1,0,0,0
20210111200257,1,23,18,2,0,0,0
20210111200257,2,49,24,2,0,0,0
20210111200257,3,24,25,2,0,0,0
20210111200257,4,11,25,1,0,0,0
20210111200262,1,23,19,2,0,0,0
20210111200277,1,16,18,1,0,0,0
20210111200277,2,35,26,1,0,0,0
20210111200288,1,24,18,2,0,0,0
20210111200288,2,4,22,2,0,0,0
20210111200288,3,25,21,2,0,0,0
20210111200344,1,16,18,2,0,0,0
20210111200344,2,37,24,1,0,0,0
20210111200344,3,36,24,2,0,0,0
20210111200344,4,12,25,1,0,0,0
20210111200344,5,10,25,1,0,0,0
20210111200508,1,41,19,1,0,0,0
20210111200509,1,50,18,2,0,0,0
20210111200509,2,79,24,2,0,0,0
20210111200567,1,27,19,2,0,0,0
20210111200602,1,77,18,2,0,0,0
20210111200602,2,80,20,1,0,0,0
20210111200611,1,27,18,2,0,0,0
20210111200611,2,30,20,1,0,0,0
20210111200611,3,6,22,1,0,0,0
20210111200644,1,35,18,2,0,0,0
20210111200644,2,15,22,1,0,0,0
20210111200644,3,12,22,1,0,0,0
20210111200657,1,37,18,1,0,0,0
20210111200657,2,36,20,2,0,0,0
20210111200657,3,19,22,2,0,0,0
20210111200657,4,15,22,2,0,0,0
20210111200658,1,53,18,2,0,0,0
20210111200658,3,11,22,2,0,0,0
20210111200666,1,67,18,2,0,0,0
20210111200666,2,74,20,1,0,0,0
20210111200666,3,52,22,1,0,0,0
20210111200683,1,33,18,2,0,0,0
20210111200683,2,35,20,1,0,0,0
20210111200683,4,12,22,1,0,0,0
20210111200683,5,7,22,1,0,0,0
20210111200683,6,4,22,2,0,0,0
20210111200685,1,37,18,2,0,0,0
20210111200685,2,64,24,1,0,0,0
20210111200685,3,64,24,2,0,0,0
20210111200702,1,27,18,1,0,0,0
20210111200702,2,60,24,2,0,0,0
20210111200702,3,33,25,1,0,0,0
20210111200719,1,39,18,2,0,0,0
20210111200719,2,18,22,1,0,0,0
20210111200719,3,14,22,2,0,0,0
20210111200739,1,39,18,1,0,0,0
20210111200739,2,47,21,2,0,0,0
20210111200739,3,23,30,2,0,0,0
20210111200746,1,43,18,2,0,0,0
20210111200746,2,28,20,1,0,0,0
20210111200746,3,1,22,1,0,0,0
20210111200765,1,63,18,1,0,0,0
20210111200765,2,63,20,2,0,0,0
20210111200765,3,27,22,2,0,0,0
20210111200765,4,30,26,1,0,0,0
20210111200768,1,40,18,2,0,0,0
20210111200768,2,41,29,1,0,0,0
20210111200782,1,55,18,1,0,0,0
20210111200782,2,56,21,2,0,0,0
20210111200783,1,40,18,2,0,0,0
20210111200783,2,10,22,2,0,0,0
20210111200783,3,7,22,1,0,0,0
20210111200807,1,60,18,2,0,0,0
20210111200807,2,85,20,1,60,0,0
20210111200826,1,44,18,2,0,0,0
20210111200826,2,47,20,1,0,0,0
20210111200826,3,15,22,1,0,0,0
20210111200826,4,13,22,1,0,0,0
20210111200826,5,11,22,2,0,0,0
20210111200864,1,28,18,2,0,0,0
20210111200864,2,9,22,1,0,0,0
20210111200864,3,39,20,1,0,0,0
20210111200869,1,43,18,2,0,0,0
20210111200869,2,8,22,2,0,0,0
20210111200869,3,5,22,1,0,0,0
20210111200893,1,66,18,1,0,0,0
20210111200893,2,56,20,2,0,0,0
20210111200893,3,20,22,2,0,0,0
20210111200893,4,15,22,2,0,0,0
20210111200901,1,36,18,1,0,0,0
20210111200901,2,33,20,2,0,0,0
20210111200901,3,7,22,1,0,0,0
20210111200901,4,5,22,2,0,0,0
20210111200953,1,59,19,1,0,0,0
20210111200992,1,38,18,1,0,0,0
