type,year,atusname,newname
resp,2020,TUCASEID,caseid
resp,2020,TUMONTH,month
resp,2020,TEIO1ICD,industry
resp,2020,TEIO1OCD,occupation
resp,2020,TELFS,emp_status
resp,2020,TU20FWGT,weight
resp,2020,TUFWK,any_work
resp,2021,TUCASEID,caseid
resp,2021,TUMONTH,month
resp,2021,TEIO1ICD,industry
resp,2021,TEIO1OCD,occupation
resp,2021,TELFS,emp_status
resp,2021,TUFLINWGT,weight
resp,2021,TUFWK,any_work
act,NA,TUCASEID,caseid
act,NA,TEWHERE,location
act,NA,TUACTDUR24,duration
act,NA,TUTIER1CODE,tier1code
act,NA,TUTIER2CODE,tier2code
act,NA,TUTIER3CODE,tier3code
cps,NA,TUCASEID,caseid
cps,NA,GESTFIPS,state
cps,NA,PEEDUCA,education
cps,NA,TULINENO,atus_respondent
