usa_or_hhsregion,week_ending,variant,share,share_hi,share_lo,nchs_or_count_flag,modeltype,time_interval,published_date
USA,03/12/2022 12:00:00 AM,BA.1.1,0.667344808578491,0.707118272781372,0.6250960230827332,NULL,smoothed,weekly,03/22/2022 12:00:00 AM
USA,03/12/2022 12:00:00 AM,BA.2,0.222754389047623,0.259702116250992,0.1896286308765411,NULL,smoothed,weekly,03/22/2022 12:00:00 AM
USA,03/12/2022 12:00:00 AM,B.1.617.2,0.000000221992281,0.000000400966968,1.198927179757447e-07,NULL,smoothed,weekly,03/22/2022 12:00:00 AM
USA,03/12/2022 12:00:00 AM,B.1.1.529,0.109900563955307,0.128419026732445,0.09371954202651978,NULL,smoothed,weekly,03/22/2022 12:00:00 AM
USA,03/12/2022 12:00:00 AM,Other,0.000000038093106,0.000000095565952,1.381748937490102e-08,NULL,smoothed,weekly,03/22/2022 12:00:00 AM
USA,03/19/2022 12:00:00 AM,BA.1.1,0.572915136814117,0.626457750797272,0.5176573395729065,NULL,smoothed,weekly,03/22/2022 12:00:00 AM
USA,03/19/2022 12:00:00 AM,BA.2,0.348540216684341,0.404425263404846,0.2964272797107697,NULL,smoothed,weekly,03/22/2022 12:00:00 AM
USA,03/19/2022 12:00:00 AM,B.1.617.2,0.00000004871616,0.000000093013938,2.470071969185028e-08,NULL,smoothed,weekly,03/22/2022 12:00:00 AM
USA,03/19/2022 12:00:00 AM,B.1.1.529,0.078544601798058,0.093201793730259,0.06598209589719772,NULL,smoothed,weekly,03/22/2022 12:00:00 AM
USA,03/19/2022 12:00:00 AM,Other,0.000000009986514,0.000000026724381,3.321947161794014e-09,NULL,smoothed,weekly,03/22/2022 12:00:00 AM
USA,01/29/2022 12:00:00 AM,BA.2,0.011504746973515,0.018461260944605,0.007058604620397091,NULL,smoothed,weekly,02/08/2022 12:00:00 AM
USA,01/29/2022 12:00:00 AM,B.1.617.2,0.000649727589916,0.000921000028029,0.0004559476219583303,NULL,smoothed,weekly,02/08/2022 12:00:00 AM
USA,01/29/2022 12:00:00 AM,B.1.1.529,0.987815618515015,0.992281079292297,0.98101806640625,NULL,smoothed,weekly,02/08/2022 12:00:00 AM
USA,01/29/2022 12:00:00 AM,Other,0.000029929411539,0.000058805875597,1.467994479753543e-05,NULL,smoothed,weekly,02/08/2022 12:00:00 AM
USA,02/05/2022 12:00:00 AM,BA.2,0.035596121102571,0.06795396655798,0.01772445626556873,NULL,smoothed,weekly,02/08/2022 12:00:00 AM
USA,02/05/2022 12:00:00 AM,B.1.617.2,0.000169992839801,0.00025352454395,0.0001130994423874654,NULL,smoothed,weekly,02/08/2022 12:00:00 AM
USA,02/05/2022 12:00:00 AM,B.1.1.529,0.964225113391876,0.98211532831192,0.931934118270874,NULL,smoothed,weekly,02/08/2022 12:00:00 AM
USA,02/05/2022 12:00:00 AM,Other,0.00000877209186,0.000018200935301,4.035044639749685e-06,NULL,smoothed,weekly,02/08/2022 12:00:00 AM
USA,11/13/2021 12:00:00 AM,AY.1,0.000778169895057,0.00168073317036,0.0003408676129765809,NULL,smoothed,weekly,11/23/2021 12:00:00 AM
USA,11/13/2021 12:00:00 AM,AY.2,0.000023264290576,0.000045892906201,1.135790171247208e-05,NULL,smoothed,weekly,11/23/2021 12:00:00 AM
USA,11/13/2021 12:00:00 AM,B.1.617.2,0.998931586742401,0.999427735805512,0.9980567693710327,NULL,smoothed,weekly,11/23/2021 12:00:00 AM
USA,11/13/2021 12:00:00 AM,Other,0.000266988703515,0.000803129689302,7.518051279475912e-05,NULL,smoothed,weekly,11/23/2021 12:00:00 AM
USA,11/20/2021 12:00:00 AM,AY.1,0.000756943365559,0.001734557677992,0.0003081983595620841,NULL,smoothed,weekly,11/23/2021 12:00:00 AM
USA,11/20/2021 12:00:00 AM,AY.2,0.000016367186618,0.000033392185287,7.680937414988875e-06,NULL,smoothed,weekly,11/23/2021 12:00:00 AM
