"","STATE","RACE","date","COVID_IMPUTED","NOCOVID_IMPUTED"
"1","AK","Any other race alone or in combination","2021-01-09",1052.13677876094,107540.870172917
"2","AK","Black alone","2021-01-09",29.0999591976843,18680.8997649001
"3","AK","Hispanic","2021-01-09",86.5688876428097,35264.430941498
"4","AK","White alone","2021-01-09",468.292049865193,351736.701874458
"5","AK","Any other race alone or in combination","2020-09-19",225.432418872288,108367.567583711
"6","AK","Black alone","2020-09-19",15.383526093768,18694.6164738606
"7","AK","Hispanic","2020-09-19",29.2666537456795,35321.7333461754
"8","AK","White alone","2020-09-19",196.573767242652,352008.426228552
"9","AK","Any other race alone or in combination","2020-03-07",10.2793454219026,108585.498485745
"10","AK","Black alone","2020-03-07",5.24134,18705.4587257366
"11","AK","Hispanic","2020-03-07",5.24134,35347.0795568855
"12","AK","White alone","2020-03-07",5.24134,352212.912903497
"13","AL","Any other race alone or in combination","2020-03-07",46.1009222666024,66668.7394137685
"14","AL","Black alone","2020-03-07",37.7296,984205.780259981
"15","AL","Hispanic","2020-03-07",37.7296,134006.843153959
"16","AL","White alone","2020-03-07",37.7296,2573551.89203971
"17","AR","Any other race alone or in combination","2020-03-07",34.7486700872139,56800.0982854739
"18","AR","Black alone","2020-03-07",22.85673,341532.595990259
"19","AR","Hispanic","2020-03-07",22.85673,147912.838375858
"20","AR","White alone","2020-03-07",22.85673,1733879.58609041
"21","AZ","Any other race alone or in combination","2020-03-07",73.4511556455486,304251.805820857
"22","AZ","Black alone","2020-03-07",55.51119,244445.284854941
"23","AZ","Hispanic","2020-03-07",55.51119,1581185.84200841
"24","AZ","White alone","2020-03-07",55.51119,3305942.9452394
"25","CA","Any other race alone or in combination","2020-03-07",396.835112131803,920698.553023924
"26","CA","Black alone","2020-03-07",299.40369,1769962.32593548
"27","CA","Hispanic","2020-03-07",299.40369,10947341.0954128
"28","CA","White alone","2020-03-07",299.40369,12142637.3225251
"29","CO","Any other race alone or in combination","2020-03-07",59.5052346335594,114492.87856064
"30","CO","Black alone","2020-03-07",44.2051,178536.7238778
"31","CO","Hispanic","2020-03-07",44.2051,860724.055757528
"32","CO","White alone","2020-03-07",80.9591806151928,3191826.4002377
"33","CT","Any other race alone or in combination","2020-03-07",32.6340037252754,42115.6467210321
"34","CT","Black alone","2020-03-07",28.02479,285445.200619568
"35","CT","Hispanic","2020-03-07",28.02479,416877.525843357
"36","CT","White alone","2020-03-07",28.02479,1958315.53129388
"37","DC","Any other race alone or in combination","2020-03-07",7.81296556057016,12501.2172051214
"38","DC","Black alone","2020-03-07",14.0534882558038,246010.146846452
"39","DC","Hispanic","2020-03-07",5.66564,57616.5178926151
"40","DC","White alone","2020-03-07",13.749144085729,233996.425542486
"41","DE","Any other race alone or in combination","2020-03-07",9.13141088239958,14693.0097247753
"42","DE","Black alone","2020-03-07",7.58262,162877.125799977
"43","DE","Hispanic","2020-03-07",7.58262,59797.2481992809
"44","DE","White alone","2020-03-07",7.58262,501790.164469309
"45","FL","Any other race alone or in combination","2020-03-07",204.65877062498,260029.11352777
"46","FL","Black alone","2020-03-07",170.43784,2493022.47308312
"47","FL","Hispanic","2020-03-07",170.43784,4306094.21489899
"48","FL","White alone","2020-03-07",170.43784,9688275.01359759
"49","GA","Any other race alone or in combination","2020-03-07",95.2884652694472,129314.460283081
"50","GA","Black alone","2020-03-07",80.08766,2519311.51156346
"51","GA","Hispanic","2020-03-07",80.08766,673037.506532377
"52","GA","White alone","2020-03-07",80.08766,4436728.06679634
"53","HI","Any other race alone or in combination","2020-03-07",34.1936087929397,289446.960983188
"54","HI","Black alone","2020-03-07",9.30345,22204.7482425381
"55","HI","Hispanic","2020-03-07",9.30345,95402.1992120808
"56","HI","White alone","2020-03-07",9.30345,263367.124304634
"57","IA","Any other race alone or in combination","2020-03-07",29.8632372146839,35676.4233014518
"58","IA","Black alone","2020-03-07",24.0228,82857.3732285955
"59","IA","Hispanic","2020-03-07",24.0228,122625.00268829
"60","IA","White alone","2020-03-07",24.0228,2123338.98104215
"61","ID","Any other race alone or in combination","2020-03-07",19.0906760164584,38278.3603013955
"62","ID","Black alone","2020-03-07",13.17623,9423.11358828993
"63","ID","Hispanic","2020-03-07",13.17623,146819.333077279
"64","ID","White alone","2020-03-07",13.17623,1123671.33274264
"65","IL","Any other race alone or in combination","2020-03-07",111.619066474796,130785.32311513
"66","IL","Black alone","2020-03-07",97.4148,1356690.57660478
"67","IL","Hispanic","2020-03-07",97.4148,1519029.16749284
"68","IL","White alone","2020-03-07",97.4148,6261004.98493048
"69","IN","Any other race alone or in combination","2020-03-07",60.3996908567658,78143.9986702911
"70","IN","Black alone","2020-03-07",51.00687,469068.602497492
"71","IN","Hispanic","2020-03-07",51.00687,309797.642466161
"72","IN","White alone","2020-03-07",51.00687,4175468.02755632
"73","KS","Any other race alone or in combination","2020-03-07",28.057526301537,60385.6323954799
"74","KS","Black alone","2020-03-07",21.72931,124087.957781849
"75","KS","Hispanic","2020-03-07",21.72931,225253.778381563
"76","KS","White alone","2020-03-07",21.72931,1732329.69418881
