industry_title,industry,essential,industry_based_setting,all_setting_options,industry_based_alternatives
Crop production  ,170,Yes,"Agriculture, forestry, etc","Agriculture, forestry, etc",No
Animal production and aquaculture,180,Yes,"Agriculture, forestry, etc","Agriculture, forestry, etc",No
Forestry except logging ,190,Yes,"Agriculture, forestry, etc","Agriculture, forestry, etc",No
Logging ,270,Yes,"Agriculture, forestry, etc","Agriculture, forestry, etc",No
"Fishing, hunting and trapping ",280,Yes,"Agriculture, forestry, etc","Agriculture, forestry, etc",No
Support activities for agriculture and forestry ,290,Yes,None of the above,"Agriculture, forestry, etc",No
Oil and gas extraction ,370,Yes,Other essential job,Other essential job,No
Coal mining ,380,Yes,Other essential job,Other essential job,No
Metal ore mining ,390,Yes,Other essential job,Other essential job,No
Nonmetallic mineral mining and quarrying ,470,Yes,Other essential job,Other essential job,No
Not specified type of mining,480,Yes,Other essential job,Other essential job,No
Support activities for mining ,490,Yes,None of the above,Other essential job,No
Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),770,Yes,Other essential job,Other essential job,No
"Animal food, grain and oilseed milling ",1070,Yes,Other essential job,"Food manufacturing OR Agriculture, forestry, etc",Yes
Sugar and confectionery products ,1080,Yes,Food manufacturing,Food manufacturing,No
Fruit and vegetable preserving and specialty food manufacturing              ,1090,Yes,Food manufacturing,Food manufacturing,No
Dairy product manufacturing,1170,Yes,Food manufacturing,Food manufacturing,No
Animal slaughtering and processing ,1180,Yes,Food manufacturing,"Food manufacturing OR Agriculture, forestry, etc",Yes
Retail bakeries ,1190,Yes,Food and beverage store,Food manufacturing OR Food and beverage store,Yes
"Bakeries and tortilla manufacturing, except retail bakeries ",1270,Yes,Food manufacturing,Food manufacturing OR Food and beverage store,Yes
"Seafood and other miscellaneous foods, n.e.c. ",1280,Yes,Food manufacturing,Food manufacturing OR Food and beverage store,Yes
Not specified food industries,1290,Yes,Other essential job,Food manufacturing OR Food and beverage store,Yes
Beverage manufacturing,1370,Yes,Food manufacturing,Food manufacturing,No
Tobacco manufacturing,1390,No,None of the above,Food manufacturing,No
"Fiber, yarn, and thread mills ",1470,No,None of the above,Non-food manufacturing,No
"Fabric mills, except knitting mills",1480,No,None of the above,Non-food manufacturing,No
Textile and fabric finishing and fabric coating mills ,1490,No,None of the above,Non-food manufacturing,No
Carpet and rug mills,1570,No,None of the above,Non-food manufacturing,No
"Textile product mills, except carpet and rug",1590,No,None of the above,Non-food manufacturing,No
"Knitting fabric mills, and apparel knitting mills ",1670,No,None of the above,Non-food manufacturing,No
"Cut and sew, and apparel accessories and other apparel manufacturing",1691,No,None of the above,Non-food manufacturing,No
Footwear manufacturing,1770,No,None of the above,Non-food manufacturing,No
"Leather and hide tanning and finishing, and other leather and allied product manufacturing",1790,No,None of the above,Non-food manufacturing,No
"Pulp, paper, and paperboard mills ",1870,Yes,Other essential job,Non-food manufacturing,No
Paperboard container manufacturing,1880,Yes,Other essential job,Non-food manufacturing,No
Miscellaneous paper and pulp products  ,1890,Yes,Other essential job,Non-food manufacturing,No
Printing and related support activities ,1990,Yes,None of the above,Non-food manufacturing,No
Petroleum refining ,2070,Yes,Other essential job,Non-food manufacturing,No
Miscellaneous petroleum and coal products ,2090,Yes,Other essential job,Non-food manufacturing,No
"Resin, synthetic rubber, and fibers and filaments manufacturing   ",2170,Yes,Non-food manufacturing,Non-food manufacturing,No
Agricultural chemical manufacturing  ,2180,Yes,Non-food manufacturing,Non-food manufacturing,No
Pharmaceutical and medicine manufacturing,2190,Yes,Non-food manufacturing,Non-food manufacturing,No
"Paint, coating, and adhesive manufacturing ",2270,Yes,Non-food manufacturing,Non-food manufacturing,No
"Soap, cleaning compound, and cosmetics manufacturing ",2280,Yes,Non-food manufacturing,Non-food manufacturing,No
Industrial and miscellaneous chemicals ,2290,Yes,Other essential job,Non-food manufacturing,No
Plastics product manufacturing ,2370,Yes,Non-food manufacturing,Non-food manufacturing,No
Tire manufacturing ,2380,Yes,Non-food manufacturing,Non-food manufacturing,No
"Rubber products, except tires, manufacturing ",2390,Yes,Non-food manufacturing,Non-food manufacturing,No
"Pottery, ceramics, and plumbing fixture manufacturing  ",2470,Yes,Non-food manufacturing,Non-food manufacturing,No
Clay building material and refractories manufacturing,2480,Yes,Non-food manufacturing,Non-food manufacturing,No
Glass and glass product manufacturing ,2490,Yes,Non-food manufacturing,Non-food manufacturing,No
"Cement, concrete, lime, and gypsum product manufacturing ",2570,Yes,Non-food manufacturing,Non-food manufacturing,No
Miscellaneous nonmetallic mineral product manufacturing ,2590,Yes,Non-food manufacturing,Non-food manufacturing,No
Iron and steel mills and steel product manufacturing  ,2670,Yes,Non-food manufacturing,Non-food manufacturing,No
Aluminum production and processing  ,2680,Yes,Non-food manufacturing,Non-food manufacturing,No
Nonferrous metal (except aluminum) production and processing ,2690,Yes,Non-food manufacturing,Non-food manufacturing,No
Foundries ,2770,Yes,Non-food manufacturing,Non-food manufacturing,No
Metal forgings and stampings ,2780,Yes,Other essential job,Non-food manufacturing,No
Cutlery and hand tool manufacturing  ,2790,Yes,Non-food manufacturing,Non-food manufacturing,No
"Structural metals, and boiler, tank, and shipping container manufacturing ",2870,Yes,Non-food manufacturing,Non-food manufacturing,No
"Machine shops; turned product; screw, nut, and bolt manufacturing  ",2880,Yes,Non-food manufacturing,Non-food manufacturing,No
"Coating, engraving, heat treating, and allied activities ",2890,Yes,Non-food manufacturing,Non-food manufacturing,No
Ordnance ,2970,Yes,Non-food manufacturing,Non-food manufacturing,No
Miscellaneous fabricated metal products manufacturing             ,2980,Yes,Non-food manufacturing,Non-food manufacturing,No
Not specified metal industries,2990,Yes,None of the above,Non-food manufacturing,No
Agricultural implement manufacturing ,3070,No,None of the above,"Non-food manufacturing OR Agriculture, forestry, etc",Yes
"Construction, and mining and oil and gas field machinery manufacturing ",3080,Yes,Non-food manufacturing,Non-food manufacturing,No
Commercial and service industry machinery manufacturing,3095,Yes,Non-food manufacturing,Non-food manufacturing,No
Metalworking machinery manufacturing,3170,Yes,Non-food manufacturing,Non-food manufacturing,No
"Engine, turbine, and power transmission equipment manufacturing",3180,Yes,Non-food manufacturing,Non-food manufacturing,No
"Machinery manufacturing, n.e.c. or not specified",3291,Yes,Non-food manufacturing,Non-food manufacturing,No
Computer and peripheral equipment manufacturing,3365,Yes,Non-food manufacturing,Non-food manufacturing,No
"Communications, audio, and video equipment manufacturing",3370,Yes,Non-food manufacturing,Non-food manufacturing,No
"Navigational, measuring, electromedical, and control instruments manufacturing",3380,Yes,Non-food manufacturing,Non-food manufacturing,No
"Electronic component and product manufacturing, n.e.c. ",3390,No,None of the above,Non-food manufacturing,No
Household appliance manufacturing ,3470,Yes,Non-food manufacturing,Non-food manufacturing,No
"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",3490,Yes,Non-food manufacturing,Non-food manufacturing,No
