industry_title,industry,occupation_title,occupation,occupation_based_setting
Crop production  ,170,Education and childcare administrators ,230,Other schools
Animal production and aquaculture,180,Education and childcare administrators ,230,Other schools
Forestry except logging ,190,Education and childcare administrators ,230,Other schools
Logging ,270,Education and childcare administrators ,230,Other schools
"Fishing, hunting and trapping ",280,Education and childcare administrators ,230,Other schools
Support activities for agriculture and forestry ,290,Education and childcare administrators ,230,Other schools
Oil and gas extraction ,370,Education and childcare administrators ,230,Other schools
Coal mining ,380,Education and childcare administrators ,230,Other schools
Metal ore mining ,390,Education and childcare administrators ,230,Other schools
Nonmetallic mineral mining and quarrying ,470,Education and childcare administrators ,230,Other schools
Not specified type of mining,480,Education and childcare administrators ,230,Other schools
Support activities for mining ,490,Education and childcare administrators ,230,Other schools
Construction,770,Education and childcare administrators ,230,Other schools
"Animal food, grain and oilseed milling ",1070,Education and childcare administrators ,230,Other schools
Sugar and confectionery products ,1080,Education and childcare administrators ,230,Other schools
Fruit and vegetable preserving and specialty food manufacturing              ,1090,Education and childcare administrators ,230,Other schools
Dairy product manufacturing,1170,Education and childcare administrators ,230,Other schools
Animal slaughtering and processing ,1180,Education and childcare administrators ,230,Other schools
Retail bakeries ,1190,Education and childcare administrators ,230,Other schools
"Bakeries and tortilla manufacturing, except retail bakeries ",1270,Education and childcare administrators ,230,Other schools
"Seafood and other miscellaneous foods, n.e.c. ",1280,Education and childcare administrators ,230,Other schools
Not specified food industries,1290,Education and childcare administrators ,230,Other schools
Beverage manufacturing,1370,Education and childcare administrators ,230,Other schools
"Pulp, paper, and paperboard mills ",1870,Education and childcare administrators ,230,Other schools
Paperboard container manufacturing,1880,Education and childcare administrators ,230,Other schools
Miscellaneous paper and pulp products  ,1890,Education and childcare administrators ,230,Other schools
Printing and related support activities ,1990,Education and childcare administrators ,230,Other schools
Petroleum refining ,2070,Education and childcare administrators ,230,Other schools
Miscellaneous petroleum and coal products ,2090,Education and childcare administrators ,230,Other schools
"Resin, synthetic rubber, and fibers and filaments manufacturing   ",2170,Education and childcare administrators ,230,Other schools
Agricultural chemical manufacturing  ,2180,Education and childcare administrators ,230,Other schools
Pharmaceutical and medicine manufacturing,2190,Education and childcare administrators ,230,Other schools
"Paint, coating, and adhesive manufacturing ",2270,Education and childcare administrators ,230,Other schools
"Soap, cleaning compound, and cosmetics manufacturing ",2280,Education and childcare administrators ,230,Other schools
Industrial and miscellaneous chemicals ,2290,Education and childcare administrators ,230,Other schools
Plastics product manufacturing ,2370,Education and childcare administrators ,230,Other schools
Tire manufacturing ,2380,Education and childcare administrators ,230,Other schools
"Rubber products, except tires, manufacturing ",2390,Education and childcare administrators ,230,Other schools
"Pottery, ceramics, and plumbing fixture manufacturing  ",2470,Education and childcare administrators ,230,Other schools
Clay building material and refractories manufacturing,2480,Education and childcare administrators ,230,Other schools
Glass and glass product manufacturing ,2490,Education and childcare administrators ,230,Other schools
"Cement, concrete, lime, and gypsum product manufacturing ",2570,Education and childcare administrators ,230,Other schools
Miscellaneous nonmetallic mineral product manufacturing ,2590,Education and childcare administrators ,230,Other schools
Iron and steel mills and steel product manufacturing  ,2670,Education and childcare administrators ,230,Other schools
Aluminum production and processing  ,2680,Education and childcare administrators ,230,Other schools
Nonferrous metal (except aluminum) production and processing ,2690,Education and childcare administrators ,230,Other schools
Foundries ,2770,Education and childcare administrators ,230,Other schools
Metal forgings and stampings ,2780,Education and childcare administrators ,230,Other schools
Cutlery and hand tool manufacturing  ,2790,Education and childcare administrators ,230,Other schools
"Structural metals, and boiler, tank, and shipping container manufacturing ",2870,Education and childcare administrators ,230,Other schools
"Machine shops; turned product; screw, nut, and bolt manufacturing  ",2880,Education and childcare administrators ,230,Other schools
"Coating, engraving, heat treating, and allied activities ",2890,Education and childcare administrators ,230,Other schools
Ordnance ,2970,Education and childcare administrators ,230,Other schools
Miscellaneous fabricated metal products manufacturing             ,2980,Education and childcare administrators ,230,Other schools
Not specified metal industries,2990,Education and childcare administrators ,230,Other schools
"Construction, and mining and oil and gas field machinery manufacturing ",3080,Education and childcare administrators ,230,Other schools
Commercial and service industry machinery manufacturing,3095,Education and childcare administrators ,230,Other schools
Metalworking machinery manufacturing,3170,Education and childcare administrators ,230,Other schools
"Engine, turbine, and power transmission equipment manufacturing",3180,Education and childcare administrators ,230,Other schools
"Machinery manufacturing, n.e.c. or not specified",3291,Education and childcare administrators ,230,Other schools
Computer and peripheral equipment manufacturing,3365,Education and childcare administrators ,230,Other schools
"Communications, audio, and video equipment manufacturing",3370,Education and childcare administrators ,230,Other schools
"Navigational, measuring, electromedical, and control instruments manufacturing",3380,Education and childcare administrators ,230,Other schools
Household appliance manufacturing ,3470,Education and childcare administrators ,230,Other schools
"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",3490,Education and childcare administrators ,230,Other schools
Motor vehicles and motor vehicle equipment manufacturing ,3570,Education and childcare administrators ,230,Other schools
Aircraft and parts manufacturing,3580,Education and childcare administrators ,230,Other schools
Aerospace products and parts manufacturing ,3590,Education and childcare administrators ,230,Other schools
Railroad rolling stock manufacturing,3670,Education and childcare administrators ,230,Other schools
Ship and boat building ,3680,Education and childcare administrators ,230,Other schools
Other transportation equipment manufacturing,3690,Education and childcare administrators ,230,Other schools
Sawmills and wood preservation ,3770,Education and childcare administrators ,230,Other schools
"Veneer, plywood, and engineered wood products ",3780,Education and childcare administrators ,230,Other schools
Prefabricated wood buildings and mobile homes manufacturing,3790,Education and childcare administrators ,230,Other schools
Miscellaneous wood products ,3875,Education and childcare administrators ,230,Other schools
Medical equipment and supplies manufacturing,3960,Education and childcare administrators ,230,Other schools
Motor vehicle and motor vehicle parts and supplies merchant wholesalers,4070,Education and childcare administrators ,230,Other schools
Lumber and other construction materials merchant wholesalers ,4090,Education and childcare administrators ,230,Other schools
"Metals and minerals, except petroleum, merchant wholesalers                         ",4180,Education and childcare administrators ,230,Other schools
Household appliances and electrical and electronic goods merchant wholesalers ,4195,Education and childcare administrators ,230,Other schools
"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers",4265,Education and childcare administrators ,230,Other schools
"Machinery, equipment, and supplies merchant wholesalers     ",4270,Education and childcare administrators ,230,Other schools
Paper and paper products merchant wholesalers ,4370,Education and childcare administrators ,230,Other schools
"Drugs, sundries, and chemical and allied products merchant  wholesalers ",4380,Education and childcare administrators ,230,Other schools
Grocery and related product merchant wholesalers ,4470,Education and childcare administrators ,230,Other schools
Farm product raw material merchant wholesalers ,4480,Education and childcare administrators ,230,Other schools
Petroleum and petroleum products merchant wholesalers ,4490,Education and childcare administrators ,230,Other schools
Alcoholic beverages merchant wholesalers ,4560,Education and childcare administrators ,230,Other schools
Farm supplies merchant wholesalers ,4570,Education and childcare administrators ,230,Other schools
Automobile dealers ,4670,Education and childcare administrators ,230,Other schools
"Automotive parts, accessories, and tire stores",4690,Education and childcare administrators ,230,Other schools
Household appliance stores ,4780,Education and childcare administrators ,230,Other schools
Electronics Stores,4795,Education and childcare administrators ,230,Other schools
Building material and supplies dealers  ,4870,Education and childcare administrators ,230,Other schools
Hardware stores ,4880,Education and childcare administrators ,230,Other schools
Lawn and garden equipment and supplies stores ,4890,Education and childcare administrators ,230,Other schools
Supermarkets and other grocery (except convenience) stores,4971,Education and childcare administrators ,230,Other schools
Convenience Stores,4972,Education and childcare administrators ,230,Other schools
Specialty food stores,4980,Education and childcare administrators ,230,Other schools
"Beer, wine, and liquor stores ",4990,Education and childcare administrators ,230,Other schools
Pharmacies and drug stores ,5070,Education and childcare administrators ,230,Other schools
Gasoline stations ,5090,Education and childcare administrators ,230,Other schools
Book stores and news dealers ,5370,Education and childcare administrators ,230,Other schools
"General merchandise stores, including warehouse clubs and supercenters ",5391,Education and childcare administrators ,230,Other schools
Florists,5470,Education and childcare administrators ,230,Other schools
Office supplies and stationery stores ,5480,Education and childcare administrators ,230,Other schools
Electronic shopping and mail-order houses,5593,Education and childcare administrators ,230,Other schools
Fuel dealers ,5680,Education and childcare administrators ,230,Other schools
Air transportation ,6070,Education and childcare administrators ,230,Other schools
Rail transportation ,6080,Education and childcare administrators ,230,Other schools
Water transportation ,6090,Education and childcare administrators ,230,Other schools
Truck transportation ,6170,Education and childcare administrators ,230,Other schools
Bus service and urban transit ,6180,Education and childcare administrators ,230,Other schools
Taxi and limousine service ,6190,Education and childcare administrators ,230,Other schools
Pipeline transportation ,6270,Education and childcare administrators ,230,Other schools
Services incidental to transportation ,6290,Education and childcare administrators ,230,Other schools
Postal Service ,6370,Education and childcare administrators ,230,Other schools
Couriers and messengers ,6380,Education and childcare administrators ,230,Other schools
Warehousing and storage ,6390,Education and childcare administrators ,230,Other schools
"Electric power generation, transmission and distribution",570,Education and childcare administrators ,230,Other schools
Natural gas distribution ,580,Education and childcare administrators ,230,Other schools
"Electric and gas, and other combinations ",590,Education and childcare administrators ,230,Other schools
"Water, steam, air-conditioning, and irrigation systems ",670,Education and childcare administrators ,230,Other schools
Sewage treatment facilities ,680,Education and childcare administrators ,230,Other schools
Not specified utilities ,690,Education and childcare administrators ,230,Other schools
Newspaper publishers,6470,Education and childcare administrators ,230,Other schools
Software publishers,6490,Education and childcare administrators ,230,Other schools
Broadcasting (except internet),6670,Education and childcare administrators ,230,Other schools
Internet publishing and broadcasting and web search portals,6672,Education and childcare administrators ,230,Other schools
Wired telecommunications carriers ,6680,Education and childcare administrators ,230,Other schools
"Telecommunications, except wired telecommunications carriers ",6690,Education and childcare administrators ,230,Other schools
"Data processing, hosting, and related services",6695,Education and childcare administrators ,230,Other schools
Libraries and archives,6770,Education and childcare administrators ,230,Other schools
"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",6780,Education and childcare administrators ,230,Other schools
Banking and related activities,6870,Education and childcare administrators ,230,Other schools
"Savings institutions, including credit unions ",6880,Education and childcare administrators ,230,Other schools
